station_name,start_count,end_count,average_lat,average_lng
LaGuardia Pl & W 3 St,6722,6884,40.72917025,-73.99810231000001
E 13 St & 2 Ave,6869,6877,40.73153937464074,-73.9853024482727
St Marks Pl & 2 Ave,6622,6873,40.72841859999999,-73.98713956000003
W 13 St & 7 Ave,6886,6872,40.737815090000005,-73.99994661000002
W 4 St & 7 Ave S,6800,6817,40.73401143,-74.00293877
1 Ave & E 16 St,6812,6788,40.73221853,-73.98165557000002
W 37 St & 10 Ave,6747,6770,40.75660358999999,-73.9979009
E 39 St & 2 Ave,6754,6748,40.74803319428765,-73.973827958107
W 22 St & 8 Ave,6699,6739,40.744751480000005,-73.99915362000002
11 Ave & W 59 St,6618,6678,40.771496710544405,-73.99046033620834
E 20 St & FDR Dr,6764,6677,40.73320862652242,-73.9756813647
Washington Pl & Broadway,6677,6675,40.729039170000014,-73.99404648999999
Ave A & E 11 St,6657,6645,40.72854745023944,-73.98175925016403
W 54 St & 11 Ave,6799,6635,40.76833299999999,-73.992573
Greenwich St & W Houston St,6594,6630,40.72884599999999,-74.00859100000001
9 Ave & W 39 St,6556,6628,40.7564035232725,-73.99410143494606
W 45 St & 8 Ave,6647,6618,40.75929124,-73.98859651
W 26 St & 10 Ave,6545,6569,40.74971775300001,-74.00295034600003
W 16 St & The High Line,6558,6551,40.74334935000001,-74.00681753000003
West End Ave & W 60 St,6529,6536,40.77237,-73.99005
7 Ave S & Bleecker St,6346,6482,40.73213896287382,-74.00363802909851
Broadway & W 41 St,6335,6442,40.75513556999999,-73.98658032000002
E 15 St & 3 Ave,6426,6395,40.734232,-73.98692300000002
E 58 St & 3 Ave,6399,6369,40.76095756000001,-73.96724467000001
Broadway & W 51 St,6293,6326,40.76228826,-73.98336183000002
6 Ave & W 45 St,6498,6323,40.75695100000001,-73.98263099999997
Riverside Blvd & W 67 St,6341,6296,40.77750702754798,-73.98888587951659
FDR Drive & E 35 St,6366,6290,40.744218999999994,-73.97121214000003
E 72 St & York Ave,6237,6261,40.76663814,-73.95348295999999
W 67 St & Broadway,6410,6259,40.774925129999986,-73.98266566
W 20 St & 8 Ave,6213,6247,40.74345335,-74.00004031
1 Ave & E 6 St,6262,6244,40.726330859716946,-73.98616880178452
Amsterdam Ave & W 79 St,6242,6241,40.78293910000001,-73.9786517
E 74 St & 1 Ave,6202,6220,40.768973800000005,-73.95482273000002
E 25 St & 2 Ave,6260,6220,40.73912601,-73.97973776000002
Hanson Pl & Ashland Pl,6196,6207,40.68506807308177,-73.97790759801863
Allen St & Rivington St,6156,6194,40.72019576000001,-73.98997825000001
Mott St & Prince St,6168,6182,40.72317958000001,-73.99480012000001
E 11 St & 1 Ave,6100,6148,40.72953837,-73.98426726000001
St Marks Pl & 1 Ave,6061,6123,40.72779126,-73.98564945
E 77 St & 1 Ave,6081,6117,40.770955538692355,-73.95356208096926
W 56 St & 10 Ave,6221,6111,40.76825400000001,-73.98863900000002
Hudson St & W 13 St,6077,6095,40.740057085672845,-74.0052741765976
E 14 St & 1 Ave,6083,6094,40.7313930336415,-73.98286700248718
W 25 St & 9 Ave,6085,6087,40.74783260583772,-74.0005722643582
E 47 St & Park Ave,5762,6086,40.75510266999999,-73.97498696000001
W 29 St & 9 Ave,6051,6073,40.75007269999999,-73.99839279000001
W 63 St & Broadway,6073,6072,40.77163851,-73.98261428
5 Ave & E 87 St,6027,6018,40.7823226073088,-73.95987510681152
5 Ave & E 78 St,6030,6014,40.776321421822715,-73.96427392959595
Central Park W & W 91 St,5997,6006,40.78866499127883,-73.96680057048798
W 64 St & Thelonious Monk Circle,5994,5999,40.77515953434236,-73.98918695747852
9 Ave & W 22 St,6091,5934,40.7454973,-74.00197138999998
W 33 St & 10 Ave,5886,5923,40.753773368360385,-73.99937599897385
E 10 St & 2 Ave,5914,5917,40.72970805644992,-73.9865979552269
Broadway & E 19 St,5867,5898,40.738660914285504,-73.98987293243407
Sullivan St & Washington Sq,5695,5857,40.73047746999998,-73.99906065
W 47 St & 9 Ave,5936,5831,40.761530451581145,-73.99007007479668
Henry St & Grand St,5796,5794,40.71421099999999,-73.98109499999998
W 27 St & 6 Ave,6164,5768,40.74526000000001,-73.99062000000002
E 7 St & Ave B,5775,5766,40.72512852411581,-73.98131668567657
Orchard St & Grand St,5737,5733,40.71731840385577,-73.99067759513855
W 42 St & 8 Ave,5615,5720,40.757569900000014,-73.99098506999998
W 70 St & Amsterdam Ave,6082,5718,40.77748046,-73.98288593999999
8 Ave & W 52 St,5690,5714,40.76370738999999,-73.9851615
Thompson St & Bleecker St,5662,5714,40.72840059450828,-73.99968780577183
E 11 St & 3 Ave,5672,5694,40.731269999999995,-73.98848999999998
E 31 St & 3 Ave,6114,5634,40.743943140000006,-73.97966068999999
E 23 St & 1 Ave,5631,5633,40.736501999999994,-73.97809471999999
E 27 St & 1 Ave,5651,5619,40.739445,-73.976806
W 15 St & 7 Ave,5563,5598,40.739355419999995,-73.99931783
W 50 St & 10 Ave,5644,5578,40.76473420006518,-73.99194359779358
Stanton St & Chrystie St,5406,5566,40.72229346,-73.99147534999997
MacDougal St & Prince St,5531,5528,40.72710258,-74.00297088
Madison Ave & E 26 St,5564,5524,40.742684734875695,-73.98671329021454
E 4 St & 2 Ave,5274,5516,40.7262807,-73.98978040999998
W 25 St & 6 Ave,5503,5506,40.74395411,-73.99144871
E 33 St & 5 Ave,5773,5500,40.74765947000001,-73.98490707
Spring St & Hudson St,5447,5481,40.725839967923754,-74.0076532959938
W 34 St & 11 Ave,5472,5476,40.755941590000006,-74.0021163
W 56 St & 8 Ave,5512,5463,40.76595918165798,-73.98313522338867
Washington Pl & 6 Ave,5411,5458,40.73224119000001,-74.00026393999998
1 Ave & E 39 St,5437,5456,40.74714,-73.97113
W 17 St & 8 Ave,5397,5452,40.74177602999999,-74.00149746
E 16 St & Irving Pl,5438,5443,40.73536705560539,-73.98797392845154
E 20 St & 2 Ave,5595,5438,40.735876780000005,-73.98205026999999
W 37 St & 5 Ave,5461,5423,40.75038009,-73.98338988
Columbus Ave & W 95 St,5474,5419,40.79195570000001,-73.96808699999998
Kent Ave & N 7 St,5069,5408,40.72036775298455,-73.96165072917938
E 47 St & 2 Ave,5442,5407,40.75323098000001,-73.97032517000002
E 27 St & Park Ave S,5352,5351,40.74275179648994,-73.9847157150507
E 7 St & Ave A,5291,5304,40.72621787999999,-73.98379855
Central Park West & W 85 St,5296,5294,40.78476,-73.96986200000002
E 9 St & 5 Ave,5276,5292,40.73275887045088,-73.99581670761108
Kent Ave & Grand St,5242,5289,40.71642500000001,-73.96594
W 20 St & 5 Ave,5274,5288,40.73972989238723,-73.99103969335556
Gramercy Park N & Gramercy Park E,5238,5261,40.737950000000005,-73.98509
Amsterdam Ave & W 82 St,5234,5237,40.78524672000001,-73.97667320999999
S 3 St & Bedford Ave,5206,5231,40.71260486,-73.96264403
Bergen St & Vanderbilt Ave,5225,5226,40.67943880000001,-73.96804380000003
Allen St & Hester St,5145,5203,40.71605865999999,-73.99190759000001
Barrow St & Hudson St,5153,5195,40.731724279999995,-74.00674435999997
6 Ave & Broome St,5150,5188,40.72431,-74.00473000000001
Wythe Ave & Metropolitan Ave,5145,5182,40.71688699999999,-73.96319800000003
E 7 St & Ave C,5273,5154,40.72412944090093,-73.97901266813278
Fulton St & Broadway,5152,5149,40.71106600000001,-74.00944700000001
5 Ave & E 30 St,5166,5138,40.7459849,-73.98629486999998
W 56 St & 6 Ave,5160,5131,40.76340613000001,-73.97722479
Little West St & 1 Pl,5072,5111,40.705692539999994,-74.01677685000001
W 47 St & 10 Ave,5094,5101,40.76269882,-73.99301221999997
E 55 St & 2 Ave,5084,5097,40.75797322,-73.96603307999999
1 Ave & E 30 St,5116,5091,40.741443870000005,-73.97536082
W 116 St & Broadway,5093,5077,40.80820000000001,-73.96410000000002
Greenwich Ave & Charles St,5002,5072,40.735238,-74.000271
West Drive & Prospect Park West,5051,5061,40.6610633719006,-73.97945255041122
Rivington St & Chrystie St,4773,5044,40.72110063,-73.9919254
Perry St & Bleecker St,5021,5043,40.73535398000001,-74.00483091000001
E 53 St & Lexington Ave,5204,5042,40.75828065000001,-73.97069430999998
Central Park West & W 76 St,5016,5032,40.77896784,-73.97374736999998
Cathedral Pkwy & Broadway,5037,5018,40.804213,-73.96699104
W 44 St & 11 Ave,5024,5013,40.762009000000006,-73.996975
E 12 St & 3 Ave,4987,5010,40.73223272,-73.98889957
2 Ave & E 72 St,4948,5006,40.768762029309585,-73.95840793848038
Stanton St & Norfolk St,5009,5001,40.72074700000001,-73.98627399999998
W 12 St & Hudson St,4965,4989,40.73752993301071,-74.00558933615685
Broadway & W 48 St,5308,4985,40.76017739537783,-73.98486793041229
E 20 St & Park Ave,4961,4958,40.73827428,-73.98751968
W 15 St & 10 Ave,4822,4940,40.742753828659026,-74.00747358798981
E 22 St & 2 Ave,4914,4926,40.737169193698826,-73.98122549057007
Queens Plaza North & Crescent St,4930,4919,40.75110165,-73.94073717000002
E 5 St & Cooper Sq,4894,4915,40.72769,-73.990993
E 72 St & Park Ave,4841,4877,40.77118287540657,-73.96409422159195
Lexington Ave & E 29 St,4862,4824,40.743115553764866,-73.98215353488922
Rivington St & Ridge St,4800,4817,40.71850211000001,-73.98329859
Schermerhorn St & Hoyt St,4771,4814,40.6886263,-73.9851911
Liberty St & Broadway,4832,4813,40.709056229999995,-74.01043382000002
Berkeley Pl & 7 Ave,4782,4808,40.67514683870979,-73.97523209452629
W 51 St & 6 Ave,4749,4772,40.7606597,-73.98042047
E 56 St & 3 Ave,4838,4745,40.75934501,-73.96759672999998
Park Ave & E 124 St,4701,4733,40.8045555,-73.9396861
E 1 St & Bowery,4780,4733,40.7248612225482,-73.99213135242462
E 48 St & 5 Ave,4702,4697,40.75724567911726,-73.97805914282799
S 4 St & Wythe Ave,4672,4694,40.71285887,-73.96590293999999
W 89 St & Columbus Ave,5006,4675,40.7882213,-73.97041561000002
8 Ave & W 27 St,4637,4671,40.74796800000001,-73.99663699999999
Lafayette St & Grand St,4642,4668,40.72028,-73.99879
W 100 St & Broadway,4771,4656,40.7973721,-73.97041192
W 55 St & 6 Ave,4826,4634,40.763189,-73.978434
W 35 St & 8 Ave,4675,4630,40.75276208874204,-73.99280458705107
Greenwich St & Perry St,4571,4622,40.73498,-74.00697000000001
Broadway & Kent Ave,4589,4613,40.710888,-73.968329
E 26 St & 3 Ave,4666,4602,40.74069317733043,-73.98160636425018
W 46 St & 11 Ave,4547,4577,40.76341379000001,-73.99667443999999
Greenwich St & Hubert St,4792,4542,40.721319,-74.010065
Perry St & Greenwich Ave,4458,4521,40.735918,-74.000939
Lawrence St & Willoughby St,4512,4518,40.69236178,-73.98631746
S 5 Pl & S 5 St,4131,4518,40.71045099999999,-73.960876
Great Jones St,4470,4518,40.72743422999999,-73.99379025
W 11 St & 6 Ave,4489,4515,40.73532427000001,-73.99800418999999
Berry St & N 8 St,4482,4507,40.71900949999999,-73.95852515000001
Lafayette Ave & Ft Greene Pl,4495,4481,40.68700231292619,-73.97664964199066
Bedford Ave & Nassau Ave,4452,4473,40.72311651000001,-73.95212324
W 36 St & 9 Ave,4459,4472,40.75462324029104,-73.99516761302948
E 3 St & 1 Ave,4448,4432,40.72467721000001,-73.98783413
Mercer St & Spring St,4183,4417,40.72362738,-73.99949601000002
N 12 St & Bedford Ave,4381,4416,40.720798210000005,-73.95484711999998
Graham Ave & Conselyea St,4383,4397,40.715143,-73.944507
W 42 St & Dyer Ave,4340,4397,40.75898481399634,-73.99379968643188
E 6 St & 2 Ave,4342,4394,40.727378693232225,-73.98840844631195
Central Park W & W 97 St,4364,4380,40.79249519495111,-73.96417066463071
E 91 St & 2 Ave,4335,4379,40.78115276427915,-73.94963040947914
Old Fulton St,4348,4377,40.70277158999999,-73.99383605000001
Howard St & Lafayette St,4316,4349,40.719105369999994,-73.99973337000002
W 17 St & 7 Ave,4303,4343,40.74056423633953,-73.99852573871613
Lispenard St & Broadway,4302,4338,40.71939226,-74.00247214
E 17 St & 2 Ave,4296,4332,40.73431166276575,-73.98372530937195
W 30 St & 8 Ave,4325,4325,40.74965268472847,-73.9952078461647
E 25 St & 1 Ave,4282,4323,40.7381765,-73.97738662
